n_processors,N,nthread,average_elapsed_time
1,10,1,2.01371e-05
1,10,2,2.62093e-05
1,10,4,3.2261e-05
1,10,8,4.22001e-05
1,10,16,6.58147e-05
1,10,32,0.000107452
1,10,64,0.00632852
1,10,128,0.000482857
2,10,1,6.12661e-05
2,10,2,7.11828e-05
2,10,4,7.79461e-05
2,10,8,0.000124924
2,10,16,0.000115378
2,10,32,0.0123649
2,10,64,0.0186959
2,10,128,0.000656435
4,10,1,9.0342e-05
4,10,2,0.000104366
4,10,4,0.000122732
4,10,8,0.000119857
4,10,16,0.00174563
4,10,32,0.00636591
4,10,64,0.0188914
4,10,128,0.000797352
